Any;NomMun;Comarca;Costa;Muntanya;Poblacio_padro;Superficie_ha;05_SU;05_SURB;05_SNU;12_A1_SUC;12_A2_SUC;12_A3_SUC;15_SV_SUC;20_Equip_habt
2012;Òrrius;Maresme;0;;651;556,28;43,2379;8,3976;504,6433;0,9042;0;0;4,3472;38,8205
2012;Pacs del Penedès;Alt Penedès;0;;879;617,2;57,6772;14,3482;545,1758;14,6683;0;0;2,7355;36,1876
2012;Palafolls;Maresme;0;;9027;1649,1500;288,4728;121,0537;1239,6283;47,6579;0;0;16,7317;13,9226
2012;Palau-solità i Plegamans;Vallès Occidental;0;;14484;1483,6400;182,6287;521,1085;779,902;8,7634;0;0;24,0498;11,1739
2012;Pallejà;Baix Llobregat;0;;11255;845,11;298,881;110,9574;435,2683;42,1725;0,6606;0;35,623;24,9516
2012;el Papiol;Baix Llobregat;0;;4014;886,54;123,26;110,3787;652,9009;26,4648;0;0;22,9694;12,764
2012;Parets del Vallès;Vallès Oriental;0;;18492;904,29;508,3958;111,957;283,9419;185,8346;0;0;30,842;7,8471
2012;Perafita;Lluçanès;0;Zona de muntanya;407;1978,8900;36,2118;11,5193;1931,1545;1,2285;0;0;4,0676;32,7065
2012;Piera;Anoia;0;;15009;5715,0700;814,2121;92,5571;4808,2968;5,1145;0;0;130,5766;27,2374
2012;els Hostalets de Pierola;Anoia;0;;2897;3332,8200;124,008;107,9804;3100,8312;0,6718;0;0;4,4332;15,7659
2012;Pineda de Mar;Maresme;1;;26066;1042,9700;312,9079;107,2345;622,8262;15,7716;4,9058;0;15,46;7,7738
2012;el Pla del Penedès;Alt Penedès;0;;1198;943,61;41,2622;4,0535;898,2922;4,9278;0;0;3,7564;26,4751
2012;la Pobla de Claramunt;Anoia;0;;2258;1854,2500;77,9437;165,8213;1610,4817;10,709;0;0;3,1817;16,4173
2012;la Pobla de Lillet;Berguedà;0;Zona de muntanya;1249;5160,0400;28,499;5,5119;5126,0243;5,7952;0,6004;0;4,2587;25,3671
2012;Polinyà;Vallès Occidental;0;;8106;874,14;275,1712;89,8729;509,0958;140,0929;2,2948;0;24,6977;13,7258
2012;Pontons;Alt Penedès;0;;531;2553,3700;59,5469;99,0613;2394,7592;0,2674;0;0;4,0092;60,5815
2012;el Prat de Llobregat;Baix Llobregat;1;;63162;3238,0100;613,2208;1708,1314;916,6601;147,5135;16,9522;0;68,5503;7,752
2012;els Prats de Rei;Anoia;0;;534;2626,2100;18,5878;6,2585;2601,3671;1,5989;0;0;0,4922;38,7496
2012;Prats de Lluçanès;Lluçanès;0;Zona de muntanya;2659;1353,3300;66,7932;17,937;1268,6014;10,5481;0,9979;0;1,8759;14,4639
2012;Premià de Mar;Maresme;1;;28145;215,14;158,2181;17,8808;39,0384;2,261;1,0532;0;11,9957;4,9602
2012;Puigdàlber;Alt Penedès;0;;535;43,78;13,1671;1,2994;29,3181;0,5396;0;0;1,3311;20,2575
2012;Puig-reig;Berguedà;0;Zona de muntanya;4301;4579,4400;135,1456;67,5385;4376,7551;20,7491;0;0;23,9585;52,1845
2012;Pujalt;Anoia;0;Zona de muntanya;205;3142,0500;16,5582;11,4368;3114,0530;0;0;0;1,7207;84,9251
2012;la Quar;Berguedà;0;Zona de muntanya;62;3787,9200;1,0698;0;3786,8480;0;0;0;0,0373;36,5916
2012;Rajadell;Bages;0;;543;4552,0200;19,5509;32,8517;4499,6222;0;0;0;2,7422;11,3213
2012;Rellinars;Vallès Occidental;0;;735;1791,5100;108,0146;28,421;1655,0719;0,3721;0;0;14,1112;54,8533
2012;Ripollet;Vallès Occidental;0;;37422;429,12;321,1387;60,0391;47,9384;53,121;0,3114;0;62,2207;9,3842
2012;la Roca del Vallès;Vallès Oriental;0;;10393;3670,9100;262,1642;445,8367;2962,9068;29,1479;2,271;0;20,382;14,2917
2012;el Pont de Vilomara i Rocafort;Bages;0;;3775;2797,0200;101,8957;135,2132;2559,9083;0,9865;0;0;18,5354;13,1825
2012;Roda de Ter;Osona;0;;6172;222,56;118,3435;50,6059;53,6133;1,2442;0;0;6,5908;13,7664
2012;Rubí;Vallès Occidental;0;;74484;3227,5300;772,9495;862,9612;1591,6164;118,8219;1,7293;0;127,0694;4,5355
2012;Rubió;Anoia;0;Zona de muntanya;227;4784,5100;6,8924;0;4777,6159;0;0;0;0,7766;23,5847
2012;Sabadell;Vallès Occidental;0;;207938;3785,2400;1749,4959;417,7096;1618,0322;183,0712;3,6257;0;202,6974;8,5794
2012;Sagàs;Berguedà;0;Zona de muntanya;144;4457,9000;0;0;4457,9046;0;0;0;0;0
2012;Sant Pere Sallavinera;Anoia;0;Zona de muntanya;163;2201,6200;10,9141;97,7788;2092,9274;4,589;0;0;1,0453;57,8363
2012;Saldes;Berguedà;0;Zona de muntanya;313;6630,9000;15,8894;0;6615,0112;0;0;0;1,1293;13,925
2012;Sallent;Bages;0;;6875;6496,5000;331,2775;76,931;6088,2922;131,4156;0;0;59,383;32,0913
2012;Santpedor;Bages;0;;7187;1680,5200;195,0017;49,2024;1436,3163;36,8659;1,4033;0;31,9026;13,0275
2012;Sant Iscle de Vallalta;Maresme;0;;1322;1796,7900;36,5063;44,8553;1715,4255;3,1892;0;0;4,861;28,5664
2012;Sant Adrià de Besòs;Barcelonès;1;;34482;391,47;352,5956;0;38,8763;56,8961;0,7745;0;64,8654;10,6475
2012;Sant Agustí de Lluçanès;Osona;0;Zona de muntanya;97;1333,2400;4,6071;0;1328,6316;0;0;0;0;9,1964
2012;Sant Andreu de la Barca;Baix Llobregat;0;;27306;562,36;388,4313;4,4606;169,4663;119,2797;0;0;42,0829;13,4139
2012;Sant Andreu de Llavaneres;Maresme;1;;10541;1184,6300;282,3777;188,6718;713,5765;0;0,1185;0;9,5956;8,0846
2012;Sant Antoni de Vilamajor;Vallès Oriental;0;;5699;1378,0000;253,8226;34,6728;1089,5044;2,0766;0;0;19,5753;12,3789
2012;Sant Bartomeu del Grau;Osona;0;Zona de muntanya;908;3473,4100;39,8675;14,3666;3419,1741;0,7627;0;0;1,7939;26,1914
2012;Sant Boi de Llobregat;Baix Llobregat;0;;83070;2160,1000;800,4576;218,4484;1141,1927;132,6161;14,6606;0;99,7891;12,8096
2012;Sant Boi de Lluçanès;Osona;0;Zona de muntanya;545;2050,8900;28,4011;21,0624;2001,4282;1,9194;0;0;1,9924;32,4754
2012;Sant Celoni;Vallès Oriental;0;;17076;6531,0800;451,2501;195,1226;5884,7047;38,4357;0;0;25,652;13,7739
2012;Sant Cebrià de Vallalta;Maresme;0;;3337;1541,8200;276,0755;40,3586;1225,3823;0;0;0;51,7421;30,794
2012;Sant Climent de Llobregat;Baix Llobregat;0;;3900;1080,4100;63,2793;16,9009;1000,2259;5,6987;0;0;11,8476;16,7947
2012;Sant Cugat del Vallès;Vallès Occidental;0;;84946;4827,6500;2177,1142;367,641;2282,8926;81,478;58,4445;0;383,4014;28,1862
2012;Sant Cugat Sesgarrigues;Alt Penedès;0;;986;623,38;51,0034;65,7157;506,6652;14,5351;0,0204;0;3,5977;33,8188
2012;Sant Esteve de Palautordera;Vallès Oriental;0;;2555;1067,1200;63,7849;64,919;938,4157;0;0;0;1,3269;6,7163
2012;Sant Esteve Sesrovires;Baix Llobregat;0;;7510;1854,7500;308,041;489,7567;1056,9481;27,7539;6,3135;0;53,1294;22,8236
2012;Sant Fost de Campsentelles;Vallès Oriental;0;;8441;1308,7400;408,3246;51,8587;848,5525;25,1488;0;0;56,0998;13,5155
2012;Sant Feliu de Codines;Vallès Oriental;0;Zona de muntanya;6105;1485,3600;134,2552;124,6469;1226,4588;0;0;0;7,851;12,2705
2012;Sant Feliu de Llobregat;Baix Llobregat;0;;43671;1180,1200;355,9974;35,8117;788,3115;81,138;0,3733;0;45,4474;11,1766
2012;Sant Feliu Sasserra;Lluçanès;0;Zona de muntanya;660;2329,3900;33,4336;7,5176;2288,4373;5,2965;0,5442;0;2,081;38,2857
2012;Sant Fruitós de Bages;Bages;0;;8227;2219,1500;315,5783;255,5284;1648,0411;75,6061;0;0;39,7557;28,5185
2012;Vilassar de Dalt;Maresme;0;;8865;902,05;141,171;57,8613;703,017;10,5237;0;0;8,6284;11,2272
2012;Sant Hipòlit de Voltregà;Osona;0;;3585;91,84;74,4823;17,3586;0;0,9158;0;0;17,7977;14,673
2012;Sant Jaume de Frontanyà;Berguedà;0;Zona de muntanya;28;2126,1000;2,1056;0;2123,9959;0;0;0;0,5602;34,3292
2012;Sant Joan Despí;Baix Llobregat;0;;32792;616,87;311,8427;81,81;223,2157;43,2914;8,2937;0;46,7925;15,1172
2012;Sant Joan de Vilatorrada;Bages;0;;10780;1654,6800;114,3603;87,2177;1453,1035;15,2651;1,2078;0;13,4137;12,934
2012;Vilassar de Mar;Maresme;1;;19918;400,12;137,111;56,1661;206,8408;4,8482;0,244;0;6,4898;4,8533
2012;Sant Julià de Vilatorta;Osona;0;Zona de muntanya;3024;1618,1300;138,0609;29,7592;1450,3068;8,1921;0;0;13,4116;37,754
2012;Sant Just Desvern;Baix Llobregat;0;;15874;777,78;348,957;26,2895;402,5338;37,9131;4,3105;0;81,0624;13,0938
2012;Sant Llorenç d'Hortons;Alt Penedès;0;;2528;1969,3600;88,7397;177,6756;1702,9399;10,1007;0;0;6,2587;16,029
2012;Sant Llorenç Savall;Vallès Occidental;0;;2417;4123,8100;45,1202;94,434;3984,2580;9,4833;0;0;5,8315;17,6212
2012;Sant Martí de Centelles;Osona;0;Zona de muntanya;1098;2606,8400;66,3733;12,3785;2528,0894;4,0751;0;0;7,8875;13,7486
2012;Sant Martí d'Albars;Lluçanès;0;Zona de muntanya;106;1452,4000;5,1674;0;1447,2291;0;0;0;0,0533;26,3518
